Ticket.ID,Ticket.Open.Date...Time,Ticket.Close.Date...Time,Ticket_Summary
456509,01-01-2015,01-08-2015,Request to extract Indonesia sales report for December 2014 
456513,01-01-2015,01-12-2015,SAP|HAW:Upload FileFrom 
456517,01-01-2015,1/16/2015,L1|The daily SQL Server backup file size on ECPOS server AUSPOSIS01 has been increased by 6GB during the last week
456519,01-01-2015,1/13/2015,"L2: Transports moved to UK1, QSR & QHR Systems"
456520,01-01-2015,01-12-2015,Finance ticket statistics for GFC/CR Meeting
456522,01-01-2015,01-06-2015,CMS|NZL:Customs export reports contain no data
456524,01-01-2015,01-12-2015,5761: Variation in CL sales between biz and txn date - Dec'14
456525,01-01-2015,01-07-2015,"<L1> :: COUNTWISE | SIN : Exceeded Threshold by Weekly Average: Previous Day Traffic Monitoring, Singapore (7, 22)"
456527,01-01-2015,1/13/2015,"<L1>COUNTWISE | MAC | OTH : Exceeded Threshold by Weekly Average: Previous Day Traffic Monitoring, Macau (2, 17)"
456529,01-01-2015,01-12-2015,CSM | SIN : Update new TenantID in POS for DFS - L&T T1 Arrival East
456530,01-01-2015,01-07-2015,CSA | SIN : Hawaii missing sales - 30/12
456533,01-01-2015,01-07-2015,DFS Macau:Credit card upload DFSM1230 and DFSM1231
456540,01-01-2015,01-02-2015,MDP Variance between SAP and MCS
456541,01-01-2015,01-06-2015,SAP | SIN: Extend vendor to business entity
456543,01-01-2015,01-09-2015,MCS | SIN : MDP Variance between SAP and MCS
456546,01-01-2015,01-07-2015,L1|WINCOR | HKG | HKIA : HKIA - GM - Shop#140 POS#4173 Retrieve last Event Number and Transaction Number
456548,01-01-2015,01-09-2015,CW | HKG | HKIA : Dec 31st traffic count of LT1 
456550,01-01-2015,01-07-2015,Unable to load MNZ Inv# 068081000
456551,01-01-2015,01-08-2015,Merchandise and Rolex Sales Report December 14
456558,01-01-2015,01-06-2015,LBS | SIN : Unable to reprint receipt - POS423
456559,01-01-2015,01-05-2015,P2P | SPN : P2P Wrong Address
456571,01-01-2015,01-07-2015,Member master records not interfaced for members
456574,01-02-2015,01-08-2015,CSA | HAW : Hermes Sales SA: Judy Park
456581,01-02-2015,01-07-2015,L1 |POS | NAM : NAM Missing Transaction
456582,01-02-2015,01-12-2015,L1|POS | IND : India Missing Transaction
456584,01-02-2015,01-12-2015,MCS | GUM : User reports Difference in Taxi Sales 
456588,01-02-2015,01-07-2015,"<L1> :: CW|NZL:Exceeded Threshold by Weekly Average: Previous Day Traffic Monitoring, New Zealand (4, 20)"
456591,01-02-2015,01-07-2015,"<L1>CW|HKG|HKIA:Exceeded Threshold by Weekly Average: Previous Day Traffic Monitoring, Hong Kong (1, 3, 6, 24)"
456592,01-02-2015,01-07-2015,"<L1>COUNTWISE | SIN : Exceeded Threshold by Weekly Average: Previous Day Traffic Monitoring, Singapore (7, 22)"
456596,01-02-2015,01-08-2015,"<L1>COUNTWISE | SIN : Exceeded Threshold by Weekly Average: Previous Day Traffic Monitoring, Guam, Saipan and Okinawa (10, 12, 13, 14, 8, 9)"
456599,01-02-2015,01-09-2015,MCS|HAW:Sales discrepancy between MCS and Inform for MCS location 5015
456606,01-02-2015,1/16/2015,"DIV 5761 , CA#20095"
456609,01-02-2015,1/19/2015,SAP system
456616,01-02-2015,01-07-2015,5219-1682299  Inventory Suspense - Inv # 710291687 (Vnd # 5401799)
456616,01-02-2015,01-07-2015,5219-1682299  Inventory Suspense - Inv # 710291687 (Vnd # 5401799)
456616,01-02-2015,01-07-2015,5219-1682299  Inventory Suspense - Inv # 710291687 (Vnd # 5401799)
456616,01-02-2015,01-07-2015,5219-1682299  Inventory Suspense - Inv # 710291687 (Vnd # 5401799)
456621,01-02-2015,1/27/2015,SCM|SIN : LIQUOR AND TOBACCO REPORT
456624,01-02-2015,01-12-2015,Diageo Brands BV INV9615098452 PO84-616874
456641,01-02-2015,1/13/2015,Monthly report to reflect the unplanned delivery cost_Dec 2014
456642,01-02-2015,1/29/2015,<L3> :: Feasiblity study|| Okinawa Change in Bank holiday working hours
456643,01-02-2015,1/29/2015,<L3> :: Oki|| feasiblity Study NACCS file - Manual entry of Units for certain Harmonize Codes
456646,01-02-2015,01-12-2015,L1|POS|HK Chinachem SA profile unable to send credit card information from POS to EMV
456649,01-02-2015,01-12-2015,<L2><Need Approval> :: {Data reprocess} Countwise Issue at 192
456660,01-02-2015,01-07-2015,L1|POS|Guam To post delayed transactions
456663,01-02-2015,01-07-2015,L1|POS|Saipan To post missing transactions
456670,01-02-2015,01-04-2015,SAP|HAW : Hawaii Sales Integration Validation - 31st December 2014
456673,01-02-2015,01-09-2015,L1|HKIA Outages in the first week of Jan 2015
456676,01-02-2015,01-12-2015,Kronos | HKG: Kronos reflect not SP staff 
456678,01-02-2015,1/21/2015,L1:INSIGHT | SIN: MTD Store Performance Summer Report( Daily) of 2013
456684,01-02-2015,1/28/2015,L3: Feasibilty study and requirements analysis for eTR Report Setup
456700,01-02-2015,1/27/2015,To add Brand Attribute to Ralph Lauren Weekly Store Class collection report
456704,01-02-2015,1/27/2015, <FIXTURE PLACED>HONG KONG TRAFFIC MONITORING STATUS 03 DECEMBER CA#452275
456711,01-02-2015,01-12-2015,DMS|HKG : Shu Uemura stock cannot scan on POS
456715,01-02-2015,1/21/2015,CSM|HKG : update CAT ID for new staff card
456717,01-02-2015,01-08-2015,L2:GM2 2014 Jan daily traffic 
456720,01-02-2015,1/16/2015,SAP| SIN : PC00_M25_NCT8A - Error 
456721,01-02-2015,01-02-2015,L2: Require access for transaction AS08 [456365]
456726,01-02-2015,01-07-2015,Unable to load MNZ 0620980267
456728,01-02-2015,01-07-2015,DIfferent CSKU reflecting in PO and corresponding Delivery Order
456729,01-02-2015,01-07-2015,SACOMM- Sales Data Extraction for December-2014
456730,01-02-2015,01-08-2015,HNDF Sales & Inventory Report - December 2014
456732,01-02-2015,01-08-2015,JDS Sales & Inventory Report - December 2014
456735,01-02-2015,01-05-2015,BTS Report for India - December 2014
456740,01-02-2015,01-02-2015,unable to veiw invoice in SFO MCS - MACAU
456743,01-02-2015,01-05-2015,PO create & change I-Doc failed as Article master UOM and PO UOM are not matching.
456744,01-02-2015,01-08-2015,WINCOR | GUM : Bebelita Pinaula EE# 900
456750,01-02-2015,1/27/2015,<L2> :: XTRAX|NAM : Saipan Pre-Order system
456753,01-02-2015,01-06-2015, Full/Manual Refund: JCB/Saison Voucher
456754,01-02-2015,01-12-2015, Aged Reserves FI Posting For HK Division
456755,01-02-2015,01-12-2015, DMS SKU Creation problem
456758,01-02-2015,01-12-2015,L1:OKI Store Location from INFORM
456759,01-02-2015,1/13/2015,L1:Sales report for Location 18
456764,01-02-2015,01-09-2015,CATS | HKG | SUN : unable to connect CATS
456768,01-02-2015,1/26/2015,Monitoring activity for the Lease Vendor SKU's reflecting till downstream systems from Jan1 to Jan 10 2015.
456770,01-02-2015,01-02-2015,L2: Authorization request
456771,01-02-2015,01-08-2015,QUERY FILE FOR ITEM COLLECTION
456778,01-02-2015,01-07-2015,L1 SAP | SIN : Cost Center Blocked - BUD6617
456778,01-02-2015,01-07-2015,L1 SAP | SIN : Cost Center Blocked - BUD6617
456778,01-02-2015,01-07-2015,L1 SAP | SIN : Cost Center Blocked - BUD6617
456778,01-02-2015,01-07-2015,L1 SAP | SIN : Cost Center Blocked - BUD6617
456780,01-02-2015,1/16/2015,ABD Sales Discrepancy Detail for Sep to Dec 14
456782,01-02-2015,01-08-2015,POS | HKG | CCM : Happy 2015 Promotion HKIA
456785,01-02-2015,01-12-2015,DMS|HKG : Unable to authorize
456789,01-02-2015,1/14/2015,Latest Jan MTD sales raw on Jan 5 
456791,01-02-2015,1/28/2015,Sale Variances(CRS and MCS) for Mid-Pac 
456794,01-02-2015,1/13/2015,Hawaii Sale suspense imbalance Dec 2014 
456804,01-02-2015,01-04-2015,"L1: SAP | SIN : Remove/Delete User Email Address/Account totally from Global Address Distribution List - Oville, Lot"
456805,01-02-2015,01-02-2015,"P2P | SIN : Remove/Delete User Email Address/Account totally from Global Address Distribution List - Oville, Lot"
456806,01-02-2015,01-09-2015,L2: SAP | SIN : P2P user access
456809,01-02-2015,01-07-2015, Increase in Markup in cost adjustment
456812,01-02-2015,01-06-2015,User request to extend vendor to HK POrg P105
456820,01-03-2015,1/13/2015,Turn off Training Mode at Honolulu Airport on Jan 6th
456821,01-03-2015,01-08-2015,CSA|NZL:Missing amount on conducted groups
456825,01-03-2015,1/16/2015,"<L1> :: CW|MAC|OTH:Exceeded Threshold by Weekly Average: Previous Day Traffic Monitoring, Macau (2, 17)"
456837,01-03-2015,01-08-2015,CSM|SIN : NZ SALES DISCREPANCIES BETWEEN TAR616P AND INFORM RPT DEC 2014
456845,01-03-2015,01-12-2015,<L2>DATA REPROCESS>MACAU COD ESTIMATE TRAFFIC CA#456348 >> AGM's APPROVAL
456850,01-04-2015,1/13/2015,"<L1>COUNTWISE | HKG : Exceeded Threshold by Weekly Average: Previous Day Traffic Monitoring, Hong Kong (1, 3, 6, 24)"
456854,01-04-2015,01-08-2015,"<L1> :: COUNTWISE | SIN : Exceeded Threshold by Weekly Average: Previous Day Traffic Monitoring, Singapore (7, 22)"
